SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
1, 3.2, 3.3, 3.25, 3.1, 3.2, 3.2, 3.1, 3
1, 3.25, 3.2, 3.1, 3, 3.2, 3.2, 3.1, 3
0, 3.6, 3.4, 3.4, 3.4, 3.5, 3.5, 3.2, 3.4
1, 4, 4.2, 4, 4, 4, 4, 3.75, 3.75
1, 3.2, 2.9, 3, 2.9, 3.1, 3.1, 3.1, 2.88
1, 3.25, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3
1, 4, 3.65, 3.6, 3.5, 3.6, 3.75, 3.6, 3.6
1, 3, 2.9, 3, 3, 3.1, 3, , 3
1, 3.1, 2.8, 3, 2.9, 3.2, 2.9, 3, 2.88
1, 3.1, 2.75, 3, 3, 3.2, 2.85, 3, 3
0, 3.4, 3.35, 3.4, 3.3, 3.25, 3.4, 3.3, 3.4
0, 3.25, 3.35, 3.2, 3.2, 3.4, 3.1, 3.25, 3.2
0, 3.3, 2.9, 3.2, 3.1, 3.2, 2.95, 3.1, 3.2
0, 4.33, 4.2, 4.25, 4.4, 4.33, 4.2, 4.2, 4
0, 3.1, 2.7, 3, 3, 3.2, 2.9, 3, 3
0, 3.1, 3, 3, 3, 3.1, 3, 3, 3
0, 4, 3.7, 3.75, 3.6, 3.75, 3.75, 3.8, 4
1, 3, 2.9, 3, 2.9, 3.2, 3, 3, 3
0, 3.4, 3.25, 3.25, 3.1, 3.25, 3.25, 3.3, 3.25
1, 3, 2.9, 3, 3, 3.25, 3, 3, 2.88
1, 3.2, 2.9, 3, 3, 3.2, 2.9, 3, 3
0, 3.75, 3.45, 3.6, 3.4, 3.75, 3.6, 3.5, 3.4
0, 5.5, 5, 5, 4.6, 5.5, 5, 5, 5.5
1, 3.5, 3.3, 3.4, 3.4, 3.25, 3.4, 3.4, 3.25
0, 3.5, 3.3, 3.2, 3.2, 3.3, 3.2, 3.4, 3.5
0, 6, 5.4, 5.5, 4.8, 5.5, 5.5, 5, 5
0, 2.88, 2.75, 2.9, 3, 3.1, 2.75, 2.9, 2.88
0, 4, 3.85, 3.75, 3.4, 3.75, 3.75, 3.5, 3.5
0, 2.9, 2.7, 3, 3, 3.1, 2.8, 3, 3
0, 3, 2.75, 3, 3, 3.25, 2.9, 3, 3
0, 2.88, 2.75, 3, 3, 3.1, 3, 2.9, 2.88
0, 5.25, 5, 5, 4.8, 4.5, 4.75, 5, 4.5
0, 3.1, 2.75, 2.85, 3, 3.2, 2.9, 2.9, 3
1, 3.2, 2.8, 3, 3, 3.2, 3, 2.9, 2.88
0, 3.2, 3.2, 3.1, 3, 3, 3.15, 3, 3
1, 3.1, 2.8, 3, 3, 3.2, 3, 3, 2.88
0, 4, 3.9, 3.75, 3.5, 3.75, 3.75, 4, 3.75
0, 3, 2.85, 2.9, 3, 3.2, 3, 2.9, 2.88
0, 3.2, 3.25, 3.25, 3.1, 3.2, 3.25, 3.25, 3.4
0, 5, 5, 5, 4.6, 5, 5.2, 5, 5
0, 3.25, 3.2, 3.25, 3, 3.2, 3.2, 3.25, 3.2
0, 5, 5, 5, 4.8, 5, 5.75, 5, 5
0, 3.4, 3.3, 3.3, 3.4, 3.25, 3.4, 3.4, 3.5
0, 3.25, 3.25, 3.25, 3, 3.2, 3.2, 3.2, 3.4
1, 3.1, 3.1, 3.1, 3.1, 3.2, 3.1, 3.1, 3
0, 3, 2.85, 2.9, 3, 3.2, 2.8, 3, 2.88
1, 3.2, 3.2, 3.2, 3.1, 3.2, 3.2, 3.25, 3.25
0, 3, 2.85, 3, 3, 3.1, 3, 2.88, 2.88
0, 3, 2.85, 2.9, 3, 3, 2.95, 2.9, 2.88
0, 5, 4.6, 4.33, 4, 4.5, 4.5, 4.5, 4.75
0, 3, 3.1, 3, 3, 3, 3, 3, 2.88
0, 3.8, 3.9, 3.6, 3.5, 3.75, 3.6, 3.7, 3.75
1, 4.5, 5, 4.5, 4.4, 4.5, 4.5, 4.4, 4.5
0, 3, 3, 3, 3, 3.2, 3, 3, 3
0, 3.7, 3.9, 3.75, 3.5, 4, 3.75, 3.8, 4
0, 3, 2.9, 3, 2.9, 3.1, 2.95, 3, 2.88
1, 3, 3, 3, 3, 3, 3, 3, 2.88
0, 3.2, 2.9, 3, 3, 3.2, 3.1, 3.05, 3
1, 3.3, 3.2, 3.2, 3, 3.1, 3.1, 3.1, 3
0, 3.4, 3.15, 3.1, 3.1, 3.1, 3.2, 3.2, 3.25
0, 6.5, 5.4, 5.5, 5, 6, 5.75, 5.75, 6
0, 3, 3, 3, 3.1, 3.1, 3, 3, 3
0, 5.5, 5, 5, 4.6, 4.5, 5, 5, 5
1, 3.3, 3.25, 3.2, 3.1, 3.2, 3.2, 3.3, 3.2
1, 6.75, 5.7, 5.5, 5, 6, 5.75, 6, 6
0, 3.25, 2.9, 3, 3, 3, 2.9, 2.9, 2.88
0, 3.25, 3.3, 3.1, 3.1, 3.1, 3.1, 3.2, 3.1
0, 3.5, 3.7, 3.6, 3.4, 3.3, 3.5, 3.6, 3.4
0, 3, 2.9, 3, 3, 3, 3, 2.9, 2.88
0, 3.25, 2.9, 3.1, 3, 3, 2.95, 2.9, 2.88
1, 4, 4, 4, 4, 3.75, 4.2, 4, 4
0, 3, 3, 3, 3, 3.1, 3, 2.9, 2.88
0, 3.1, 3, 3.1, 3, 3.2, 3, 2.9, 2.88
0, 3.1, 3.1, 3.1, 3, 3.2, 3, 3, 2.88
1, 3, 2.9, 2.9, 2.9, 3, 2.9, 2.9, 3
1, 3.3, 3.1, 3.25, 3.1, 3.2, 3.1, 3.1, 3
0, 3, 3, 3, 2.9, 3.2, 3, 2.9, 3
0, 3.5, 3.35, 3.4, 3.2, 3.3, 3.4, 3.35, 3.5
1, 3.25, 3.3, 3.25, 3, 3.2, 3.1, 3.2, 3.2
0, 6.5, 6, 5.5, 5, 5.5, 6, 6, 5.5
0, 3, 3, 3, 3, 3, 3, 2.9, 2.88
1, 3.2, 3.3, 3.25, 3, 3.1, 3.1, 3.1, 3
0, 3.2, 3.2, 3.2, 3, 3.1, 3.2, 3.15, 3
1, 3, 3.1, 3, 3, 3.1, 2.9, 3, 3
1, 3.5, 3.45, 3.4, 3.3, 3.3, 3.4, 3.45, 3.25
1, 3.1, 3.1, 3.1, 3.1, 3, 3.1, 3.1, 3
0, 5, 5.5, 5, 4.8, 5.5, 5.5, 5, 5
0, 3.8, 3.9, 3.75, 3.6, 3.75, 3.6, 3.75, 4
0, 3.3, 3.25, 3.25, 3.1, 3.2, 3.25, 3.2, 3.25
1, 3.3, 3.25, 3.2, 3.1, 3.3, 3.1, 3.2, 3.2
0, 3, 2.9, 3, 3, 3, 2.85, 2.8, 2.88
1, 3.3, 3.15, 3.2, 3.1, 3.1, 3.1, 3.1, 3.2
0, 6, 5.5, 5.5, 5, 5, 5.75, 5.5, 5.25
0, 3.6, 3.45, 3.5, 3.4, 3.5, 3.3, 3.5, 3.5
0, 3, 2.9, 3, 3, 3.1, 2.9, 2.8, 2.88
0, 3.5, 3.35, 3.4, 3.4, 3.5, 3.4, 3.5, 3.5
0, 3, 3, 3, 3, 3.1, 2.95, 2.9, 3
1, 4.33, 3.7, 4, 3.6, 3.75, 4.2, 4, 3.75
0, 4, 3.75, 3.8, 3.7, 3.75, 3.8, 4, 3.75
0, 3.3, 3.25, 3.15, 3, 3.3, 3.1, 3.1, 3.2
0, 3.4, 3.25, 3.2, 3, 3.3, 3.2, 3.2, 3.2
0, 7.5, 6, 6, 5.7, 6.5, 6, 7, 6.5
1, 4.5, 3.9, 4, 4, 3.75, 4.3, 4.1, 4
0, 3, 3, 3, 3, 3.1, 2.9, 3, 
0, 3.3, 3.1, 3.2, 3, 3.25, 3.1, 3.2, 3.1
0, 3.3, 3.25, 3.2, 3.1, 3.2, 3.2, 3.15, 3
0, 3.4, 3.3, 3.25, 3.1, 3.25, 3.2, 3.2, 3.25
0, 3.2, 3.3, 3.1, 3, 3, 3.1, 3.1, 3
0, 3.2, 3.2, 3.1, 3, 3.2, 3.1, 3.1, 3.25
0, 3.3, 3.2, 3.2, 3.1, 3.2, 3.2, 3.1, 3
0, 3.4, 3.05, 3.25, 3, 3.2, 3.1, 3.1, 3.25
1, 3.1, 3, 3, 3, 3.2, 3, 3, 
0, 3.4, 3.5, 3.4, 3.4, 3.5, 3.4, 3.35, 3.4
0, 3.1, 3, 3, 3, 3, 3, 3, 3
0, 3.5, 3.45, 3.4, 3.4, 3.3, 3.5, 3.4, 3.4
0, 4.33, 4.4, 4.2, 4.4, 4.5, 4.5, 4.5, 4
0, 3.1, 3.1, 3.1, 2.9, 3.1, 3.2, 3.1, 3
1, 3.1, 2.9, 3, 3, 3.2, 3, 3, 3
0, 5.25, 5.15, 5, 4.8, 5, 5.2, 5, 5
1, 3.1, 3.05, 3.1, 3, 3, 3.2, 3.1, 3
1, 3.7, 3.7, 3.6, 3.4, 3.5, 3.75, 3.6, 3.6
0, 3.1, 3, 3, 2.9, 3.1, 3, 3, 3
1, 5.5, 5.2, 5, 5, 6, 5.5, 5.5, 5.5
0, 3.7, 3.7, 3.6, 3.4, 3.3, 3.75, 3.7, 3.6
0, 3.2, 3.2, 3.2, 3, 3.2, 3.2, 3.15, 3.2
0, 3.1, 3.15, 3, 2.9, 3, 3, 3, 3
0, 3.6, 3.5, 3.4, 3.2, 3.25, 3.5, 3.4, 3.4
0, 3.1, 3, 3, 2.9, 3.2, 3, 3, 3
0, 3, 3, 3, 3, 3, 2.95, 3, 3
0, 4.75, 4.6, 4.5, 4, 4, 4.75, 4.75, 4.33
0, 3.3, 3.15, 3.1, 3, 3.1, 3.2, 3.1, 3.2
0, 3.4, 3.3, 3.1, 3.1, 3, 3.2, 3.2, 3.25
0, 3, 2.9, 3, 3, 3, 3, 3, 3
0, 3, 2.9, 3, 2.9, 3, 3, 2.9, 2.88
1, 3, 2.9, 3, 2.9, 3.1, 2.9, 2.9, 2.88
0, 3, 2.9, 3, 2.9, 3.1, 2.9, 2.9, 3
0, 5.25, 5.2, , 4.6, 4.5, 5.5, 5, 5
1, 4.75, 4.6, 4.5, 4.4, 4, 4.75, 4.75, 4.5
0, 4.33, 3.9, 4, 4, 3.75, 4.2, 3.8, 4
0, 3.2, 3.3, 3.1, 3, 3, 3.1, 3.15, 3.2
0, 3.1, 3.1, 3.1, 3.1, 3.2, 3, 3.1, 3
0, 3, 2.9, 3, 2.9, 3.2, 3, 3, 3
0, 6, 5.2, 5.5, 5, 5.5, 5.75, 5.5, 5.5
0, 3.2, 3.15, 3.1, 2.9, 3, 3.1, 3.1, 3.2
0, 3.5, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.5
1, 3.2, 3.2, 3.1, 3.1, 3, 3.1, 3.2, 2.88
0, 6.5, 6, 6, 5, 6, 6.5, 6.5, 5.5
1, 4.33, 4.25, 3.75, 3.6, 3.75, 4, 3.8, 3.6
1, 3.3, 3.2, 3.2, 3, 3.1, 3.2, 3.3, 3
1, 3.6, 3.2, 3.3, 3.1, 3.25, 3.4, 3.3, 3.4
1, 3.25, 3.15, 3.1, 3, 3, 3.2, 3.1, 3.1
0, 3.8, 3.9, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6
1, 3, 2.9, 3, 3, 3.1, 2.9, 3, 3
1, 3.3, 3.1, 3.1, 3, 3.2, 3.1, 3.1, 3
0, 3.5, 3.3, 3.4, 3.4, 3.25, 3.4, 3.4, 3.4
1, 3.4, 3.25, 3.2, 3.1, 3.2, 3.1, 3.1, 3
0, 3.2, 3.25, 3.25, 3, 3.2, 3.2, 3.2, 3.4
0, 3.1, 2.9, 3, 3, 3.1, 2.9, 2.9, 3
0, 3.1, 2.9, 3, 3, 3.2, 2.9, 2.9, 3
0, 3, 2.95, 3, 3, 3.1, 3, 3, 2.88
0, 3, 2.9, 3, 3, 3.1, 3, 3, 3
0, 4.5, 4.2, 4, 3.6, 3.75, 4, 4, 4
0, 3, 2.9, 3, 3, 3.1, 3, 3, 3
0, 4.5, 4.5, 4.5, 4, 4.5, 4.5, 4.2, 4.33
0, 3.1, 3, 3, 3, 3, 3, 3, 2.88
0, 3.4, 3.1, 3.1, 3, 3.1, 3.2, 3.1, 3.25
0, 3.2, 3.05, 3, 3.1, 3.2, 3.1, 3, 2.88
0, 3.6, 3.45, 3.5, 3.3, 3.3, 3.6, 3.5, 3.4
0, 3.4, 3.35, 3.4, 3.1, 3.25, 3.4, 3.2, 3.2
1, 5.5, 5.2, 5.5, 5, 5, 5.75, 5.5, 5.5
1, 3.1, 3, 3, 2.9, 3.2, 3, 3, 3
1, 3.6, 3.4, 3.4, 3.3, 3.5, 3.5, 3.4, 3.4
0, 3.5, 3.6, 3.5, 3.4, 3.6, 3.5, 3.5, 3.5
0, 5, 5.6, 5, 4.8, 4.5, 5.5, 5.25, 5
1, 3.1, 3.1, 3.1, 2.9, 3.2, 3.2, 3.1, 3
0, 3.1, 3.15, 3.1, 3.1, 3.1, 3.1, 3.1, 3.2
0, 3, 3.05, 3, 2.8, 3.2, 2.9, 3, 3
0, 3.5, 3.4, 3.4, 3.1, 3.5, 3.4, 3.4, 3.4
0, 4.2, 4, 4, 3.6, 4, 3.8, 3.75, 3.75
0, 3.1, 2.9, 3, 2.9, 3.2, 2.9, 3, 3
0, 3.8, 3.55, 3.5, 3.4, 3.4, 3.6, 3.5, 3.6
0, 3.3, 3.15, 3.1, 3, 3.1, 3.1, 3.1, 3.1
0, 3.75, 3.55, 3.5, 3.4, 3.3, 3.5, 3.4, 3.5
0, 3.1, 3, 3, 2.8, 3.2, 3.1, 3, 3
0, 3.25, 3.25, 3.25, 3.1, 3.2, 3.2, 3.25, 3
0, 3.6, 3.55, 3.4, 3.3, 3.25, 3.5, 3.6, 3.5
0, 3.4, 3.35, 3.25, 3.2, 3.3, 3.25, 3.3, 3.2
0, 4.5, 4, 4, 3.8, 4.33, 4.3, 4.2, 3.75
0, 3.1, 3, 3, 3, 3.1, 3, 3, 3
0, 3, 3, 3, 3, 3.1, 3, 2.9, 3
0, 3.2, 2.9, 3, 2.9, 3.2, 2.95, 3, 2.88
0, 3, 2.9, 2.95, 3, 3.1, 3, 2.88, 3
0, 3.5, 3.35, 3.3, 3, 3.2, 3.5, 3.2, 3.4
0, 3.6, 3.45, 3.4, 3.4, 3.5, 3.4, 3.3, 3.4
0, 4.2, 4.1, 4, 4.4, 4, 4, 4, 4
1, 3, 3, 3, 3.1, 3, 3.1, 3, 3
1, 3.2, 2.9, 3, 2.8, 3.1, 2.9, 3, 2.88
1, 3.4, 3.4, 3.4, 3.3, 3.25, 3.5, 3.3, 3.4
0, 4.5, 4.5, 5, 5, 5, 5.2, 4.5, 4.5
0, 4.2, 4.1, 4, 3.7, 3.6, 4.2, 4, 4
1, 3, 3, 3, 2.9, 3.1, 3.1, 3, 3
0, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2, 3.1, 3.1
0, 4.5, 3.9, 4, 3.7, 3.75, 4.2, 4, 4.33
1, 3.4, 3.35, 3.4, 3.3, 3.25, 3.2, 3.2, 3.25
0, 3.1, 3, 3, 3, 3.1, 3.1, 3.1, 3
1, 3.5, 3.4, 3.4, 3.6, 3.25, 3.4, 3.4, 3.5
1, 3.2, 3, 3, 2.9, 3.1, 3.1, 3, 
0, 3.75, 3.45, 3.4, 3.2, 3.25, 3.4, 3.4, 3.5
0, 3.2, 3, 3.1, 3.1, 3, 3.1, 3, 3.1
0, 3.25, 3.25, 3.2, 3.1, 3.2, 3.1, 3.1, 2.88
0, 5.25, 5.2, 5, 4.8, 5, 5, 5, 4.75
0, 4.5, 4, 4.25, 3.7, 4, 4, 4.2, 4.33
1, 3.1, 3, 3, 3.1, 3.1, 2.9, 3, 2.88
0, 3.2, 3.2, 3.1, 3.1, 3.2, 3.2, 3.1, 3.2
0, 4.5, 4.45, 4.25, 4.6, 4.5, 4.3, 4.5, 4.5
0, 5, 5.2, 4.75, 4.6, 5, 4.75, 4.5, 4.75
1, 3, 3, 3, 3, 3.1, 3.1, 3, 3.1
0, 6.5, 6, 6, 5.7, 6, 7, 6.5, 6
0, 4.75, 4, 4, 4, 3.75, 3.8, 4, 4
1, 3.4, 3.3, 3.25, 3.1, 3.2, 3.2, 3.2, 3.1
0, 3.1, 3.15, 3.1, 3.1, 3, 3.2, 3.1, 2.88
1, 3.4, 3.3, 3.25, 3.1, 3.25, 3.1, 3.2, 3.25
0, 3.5, 3.4, 3.4, 3.2, 3.5, 3.4, 3.3, 3.4
0, 4.5, 4, 4.2, 4, 4, 4.3, 4.2, 4.33
1, 3.1, 3, 3.1, 3, 3.3, 3.1, 3.1, 3.2
0, 3.1, 3, 3.15, 3, 3.2, 3.2, 3.1, 3.1
0, 3.3, 3.3, 3.2, 3.2, 3.3, 3.2, 3.1, 3.2
0, 3.2, 3.15, 3.2, 3.1, 3, 3.25, 3.1, 3
0, 3.1, 2.95, 3.1, 3, 3.2, 3.2, 3.1, 3.2
1, 3.1, 3, 3.1, 3, 3.2, 3.1, 3.4, 3.2
0, 5.25, 4.5, 4.5, 4.6, 5, 5, 5, 4.5
0, 5.25, 4.5, 4.5, 4.6, 4.5, 5, 5, 5
0, 4.2, 4.25, 4, 3.4, 3.75, 4, 4, 4
0, 3.5, 3.4, 3.4, 3.1, 3.5, 3.4, 3.4, 3.6
0, 3.25, 3.15, 3.2, 2.9, 3.2, 3.2, 3.1, 3.2
0, 8, 7, 7, 6, 6, 7.5, 7.5, 8.5
0, 3.25, 3.1, 3.2, 3.1, 3.2, 3.2, 3.1, 3.2
1, 3.4, 3.3, 3.3, 3.3, 3.4, 3.4, 3.3, 3.4
0, 3, 3, 3.1, 3, 3.2, 3.1, 3, 
1, 3.2, 3.15, 3.2, 3, 3.2, 3.1, 3.1, 3.2
1, 3.25, 3.3, 3.2, 3.1, 3.2, 3.25, 3.1, 3.2
0, 3.1, 3.25, 3.1, 3, 3, 3, 3, 3
0, 5.5, 5.5, 5, 5, 5, 5, 5, 5
0, 3.2, 2.9, 3.1, 3, 3, 3, 3, 3
0, 3, 2.9, 3, 3, 2.9, 3, 3, 3
0, 3.1, 2.9, 3, 3, 3, 3, 2.9, 3.2
0, 4.5, 4.6, 4.5, 4.5, 4.5, 4.5, 4.2, 4.5
1, 3.5, 3.8, 3.4, 3.4, 3.4, 3.4, 3.5, 3.5
1, 3.5, 3.2, 3.25, 3.2, 3.25, 3.25, 3.2, 3.2
1, 3.2, 3.1, 3.1, 3.1, 3.1, 3, 3, 2.88
0, 3.2, 3.2, 3.2, 3.1, 3.2, 3.2, , 3.2
0, 3.3, 3.3, 3.25, 3.1, 3, 3.25, , 3.2
0, 3.3, 3.2, 3.25, 3.1, 3.25, 3.25, , 3.2
0, 3.1, 3, 3.1, 3, 3, 3, , 3
0, 3.1, 3, 3, 3, 3, 3, 3, 3
0, 3.25, 3.2, 3.1, 3, 3.1, 3, 3, 3
0, 4.2, 4.6, 4.2, 4.2, 4, 4.2, 4.5, 4.33
0, 3.1, 2.85, 3.1, 2.9, 3.1, 3, 3, 3
1, 3.1, 3.1, 3.2, 2.9, 3.2, 3, 3, 3
0, 3.25, 3.3, 3.2, 3, 3.2, 3.1, 3, 3
0, 3.25, 3.2, 3.2, 3.1, 3.1, 3.2, 3, 3.2
1, 3.75, 3.75, 3.75, 3.5, 3.6, 3.75, 3.6, 3.5
0, 3.3, 3.3, 3.25, 3.1, 3.1, 3.2, 3.2, 3.2
0, 3.5, 3.4, 3.3, 3.3, 3.3, 3.3, 3.5, 3.4
0, 6.5, 5.4, 5.25, 5, 5.5, 5.5, 5.5, 5.5
0, 3.1, 3.2, 3.1, 3, 3, 3.05, 3, 3
0, 3.4, 3.3, 3.25, 3.1, 3.25, 3.3, 3.2, 3.2
1, 3.6, 3.55, 3.5, 3.4, 3.25, 3.6, 3.4, 3.5
0, 3.2, 3.1, 3.1, 3.1, 3.1, 3.1, 3.15, 3
0, 3.3, 3.3, 3.25, 3.2, 3.25, 3.3, 3.3, 3.2
0, 3.2, 3.2, 3.1, 3, 3, 3, 3, 3
0, 3.3, 3.2, 3.25, 3.1, 3, 3.2, 3.1, 3.2
1, 3.1, 3.1, 3.1, 3, 3.1, 3, 3.1, 2.88
1, 3.1, 3, 3, 3, 3.1, 3, 3, 3
0, 3.4, 3.4, 3.2, 3.3, 3.2, 3.3, 3.25, 3.2
0, 3.1, 3.1, 3, 3, 3.1, 3.05, 3, 3
0, 3.1, 3.2, 3, 3, 3, 3.05, 2.9, 3
1, 3.1, 3.1, 3.1, 3, 3, 3, 3, 2.88
1, 3.4, 3.45, 3.2, 3.2, 3.25, 3.3, 3.2, 3.25
0, 3.25, 3.2, 3.2, 3, 3.2, 3.1, 3, 3
1, 3.2, 3.1, 3, 3, 3.1, 3, 3, 2.88
1, 3.1, 3, 3, 3, 3.1, 2.95, 3, 2.88
0, 5.5, 5, 5, 4.8, 5, 5, 4.8, 4.5
0, 4.75, 4.6, 4.75, 4.5, 4.5, 5, 4.5, 4.5
1, 3.4, 3.3, 3.25, 3.2, 3.2, 3.3, 3.2, 3.2
0, 3.4, 3.25, 3.3, 3.1, 3.2, 3.1, 3.2, 3
1, 3.6, 3.4, 3.4, 3.4, 3.5, 3.4, 3.4, 3.4
0, 3.4, 3.45, 3.3, 3.2, 3.25, 3.3, 3.3, 3.25
0, 3.4, 3.6, 3.4, 3.4, 3.3, 3.4, 3.3, 3.4
0, 3.4, 3.45, 3.4, 3.3, 3.4, 3.4, 3.3, 3.4
0, 3.4, 3.4, 3.4, 3.2, 3.3, 3.4, 3.3, 3.25
1, 3, 3.1, 3, 3, 3.1, 2.95, 3, 2.88
1, 3.2, 3.1, 3.1, 3.1, 3.2, 3, 3, 2.88
0, 3.2, 3.3, 3.1, 3.1, 3.2, 3, 3.2, 2.88
0, 3.25, 3.3, 3.25, 3.2, 3.1, 3.25, 3.3, 3.25
0, 3.2, 3, 3, 2.9, 3.2, 3, 3, 3
0, 3.1, 3, 3.1, 3, 3.2, 3.1, 3, 2.88
0, 4.5, 4.5, 4, 4.2, 4.5, 4, 3.75, 4
0, 4.2, 4.1, 4, 3.9, 3.75, 4, 3.75, 4
0, 5.25, 5.6, 5, 4.5, 4.5, 5, 4.8, 5
1, 3.4, 3.35, 3.4, 3.2, 3.25, 3.4, 3.25, 3.4
0, 3.25, 3.1, 3.1, 3, 3, 2.95, 3.1, 3
0, 3.6, 3.55, 3.4, 3.3, 3.25, 3.3, 3.4, 3.4
0, 3.2, 3.15, 3.1, 2.9, 3.2, 3, 3.2, 3
0, 3.1, 3.15, 3, 3, 3.2, 2.95, 2.95, 2.88
1, 3.2, 3.05, 3, 3, 3.2, 2.9, 2.9, 2.88
0, 3.25, 3.25, 3.2, 3.1, 3.2, 3.2, 3.2, 3.2
0, 3.3, 3.5, 3.4, 3.2, 3.5, 3.35, 3.35, 3.25
1, 3.4, 3.4, 3.4, 3.2, 3.2, 3.4, 3.4, 3.4
0, 3.6, 3.4, 3.5, 3.5, 3.25, 3.6, 3.6, 3.5
0, 3, 2.9, 3, 3, 3.2, 2.85, 2.85, 3.1
1, 3.4, 3.5, 3.4, 3.3, 3.25, 3.4, 3.25, 3
0, 3, 2.9, 3, 3, 3.1, 3.1, 3, 2.88
0, 3.1, 3.15, 3.1, 3, 3.2, 3.1, 3, 3
0, 3.3, 3.3, 3.25, 3.1, 3.2, 3.25, 3.25, 3.2
0, 3.6, 3.8, 3.8, 4, 3.75, 3.75, 3.75, 3.75
0, 3, 2.9, 3, 3, 3.2, 3.1, 3, 2.88
1, 5, 5, 5, 4.5, 5, 5, 4.5, 4.5
0, 5, 5.65, 5.25, 4.8, 5, 5, 5, 5.5
0, 3.5, 3.45, 3.4, 3.3, 3.3, 3.5, 3.3, 3.4
0, 3.25, 2.9, 3.1, 3.1, 3.2, 3, 3, 3
0, 3.3, 3.2, 3.25, 3.1, 3.25, 3.25, 3.1, 3.4
0, 3.5, 3.7, 3.4, 3.4, 3.3, 3.5, 3.4, 3.25
0, 3.2, 3.2, 3.1, 3, 3.2, 3.2, 3.1, 3
0, 3.2, 2.9, 3.1, 3, 3.1, 3.1, 3, 3
0, 3.1, 3, 3, 3, 3.1, 3.1, 3, 3
1, 3.2, 3.2, 3.1, 3, 3.2, 3.1, 3, 2.88
0, 3.75, 3.8, 3.75, 3.4, 3.4, 3.75, 3.7, 3.75
1, 3.1, 2.9, 3, 2.9, 3, 3, 2.9, 3
0, 4, 3.7, 3.75, 3.5, 3.4, 3.6, 3.6, 3.75
1, 5.25, 5, 5, 4.5, 4, 5, 4.33, 4.5
0, 3.2, 3.1, 3.2, 3, 3.2, 3.25, 3.2, 3.2
1, 3.4, 3.2, 3.3, 3.4, 3.25, 3.25, 3.3, 3.25
0, 3.1, 3, 3, 2.9, 3.2, 3, 3, 2.88
1, 4.2, 4, 4, 3.8, 4, 4, 4, 4.5
1, 4, 4, 4, 3.8, 4, 4.1, 3.75, 4
1, 3, 2.85, 2.9, 3, 3.1, 2.85, 2.9, 2.88
0, 2.87, 2.85, 2.9, 3, 3.1, 2.85, 2.9, 2.88
0, 3.6, 3.5, 3.3, 3.2, 3.3, 3.5, 3.3, 3.25
0, 3, 2.85, 3, 3, 3.1, 3, 2.9, 3
0, 3.5, 3.45, 3.25, 3.2, 3.25, 3.3, 3.3, 3.25
0, 3.3, 3.4, 3.25, 3.2, 3.2, 3.3, 3.3, 3.2
0, 3.75, 3.9, 3.75, 3.5, 3.75, 4.2, 3.6, 3.75
0, 3.6, 3.45, 3.4, 3.3, 3.4, 3.5, 3.4, 3.6
1, 3.4, 3.3, 3.3, 3.2, 3.1, 3.1, 3.4, 3.4
0, 3.75, 3.9, 3.75, 3.6, 3.4, 3.8, 3.75, 3.75
0, 3.4, 3.45, 3.4, 3.4, 3.25, 3.3, 3.3, 3.2
1, 3.3, 3.2, 3.25, 3.2, 3.25, 3.2, 3.25, 3.1
0, 3.1, 2.9, 3, 3, 3, 3, 2.88, 2.88
0, 3.2, 3, 3.1, 3, 3.1, 3, 2.9, 3
1, 6.5, 6.6, 5.75, 6, 6.5, 6, 5.5, 6
0, 3.1, 2.95, 3, 3, 3, 2.9, 2.88, 2.75
1, 3.6, 3.5, 3.4, 3.2, 3.3, 3.5, 3.3, 3.4
1, 3.3, 3.15, 3.1, 3.1, 3.2, 3.1, 3, 3
0, 3.2, 3.1, 3.1, 3.1, 3.2, 3.2, 3, 3
1, 3.3, 3.35, 3.2, 3.1, 3.2, 3.25, 3, 2.88
0, 3.1, 2.9, 3.1, 3, 3.1, 3, 3, 3
0, 3.25, 3.25, 3.1, 3, 3.2, 3.2, 3, 3
0, 3.1, 2.9, 3, 2.9, 3.2, 2.9, 2.9, 2.88
0, 3.1, 2.9, 3.1, 3, 3.2, 3, 3, 2.88
0, 3.1, 2.9, 3, 2.9, 3, 2.9, 2.9, 2.88
0, 5.5, 5.85, 5.5, 5, 5, 6, 4.5, 5.5
1, 3.6, 3.75, 3.6, 3.4, 3.4, 3.75, 3.5, 3.5
1, 3, 3.1, 3.1, 3, 3.2, 3.1, 3, 3
0, 3.6, 3.65, 3.5, 3.4, 3.4, 3.5, 3.5, 3.4
0, 3.4, 3.2, 3.2, 3.1, 3.1, 3.25, 3.25, 3.2
1, 3.25, 3.15, 3.1, 3, 3.2, 3.1, 3.1, 3.2
0, 3.6, 3.7, 3.5, 3.5, 3.4, 3.6, 3.6, 3.6
0, 3.3, 3, 3.2, 3.2, 3.1, 3.2, 3.2, 3
1, 3.2, 3.15, 3.2, 3, 3.1, 3.1, 3, 3
0, 3.2, 2.9, 2.9, 2.9, 3, 2.9, 3, 3
0, 3, 2.9, 3, 2.9, 3, 2.95, 3, 2.88
